# Textos do launcher: portugues = english | espanol | russo | indonesio | turco

     Exportar configurações... = Export settings... |      Exportar ajustes... |      Экспорт настроек... |      Ekspor pengaturan... |      Ayarları dışa aktar...
     Importar configurações... = Import settings... |      Importar ajustes... |      Импорт настроек... |      Impor pengaturan... |      Ayarları içe aktar...
%d selecionadas = %d selected | %d seleccionadas | выбрано: %d | %d dipilih | %d seçildi
%s disponível  -  você está na %s = %s available - you are on %s | %s disponible  -  tienes la %s | Доступна %s  -  у вас %s | %s tersedia  -  versi kamu %s | %s mevcut  -  sürümünüz %s
+  Adicionar conta = + Add account | +  Añadir cuenta | +  Добавить аккаунт | +  Tambah akun | +  Hesap ekle
+  Adicionar link = + Add link | +  Añadir enlace | +  Добавить ссылку | +  Tambah tautan | +  Bağlantı ekle
127.0.0.1:7777 ou servidor.com:7777 = 127.0.0.1:7777 or server.com:7777 | 127.0.0.1:7777 o servidor.com:7777 | 127.0.0.1:7777 или server.com:7777 | 127.0.0.1:7777 atau server.com:7777 | 127.0.0.1:7777 veya sunucu.com:7777
A lista não veio. Tentar de novo = The list didn't load. Try again | La lista no cargó. Reintentar | Список не загрузился. Повторить | Daftar gagal dimuat. Coba lagi | Liste yüklenemedi. Tekrar dene
A pasta do jogo n\u00e3o pode ficar dentro da pasta do launcher. Confira a data em uso. = The game folder can't be inside the launcher folder. Check the install in use. | La carpeta del juego no puede estar dentro de la carpeta del launcher. Revisa la instalación en uso. | Папка игры не может находиться внутри папки лаунчера. Проверьте используемую установку. | Folder game tidak boleh berada di dalam folder launcher. Periksa instalasi yang dipakai. | Oyun klasörü launcher klasörünün içinde olamaz. Kullanılan kurulumu kontrol edin.
Abre sozinho quando o computador liga = Opens by itself when the computer starts | Se abre solo al encender el PC | Запускается сам при включении компьютера | Terbuka otomatis saat komputer menyala | Bilgisayar açılınca kendiliğinden açılır
abrindo o samp.exe... = opening samp.exe... | abriendo samp.exe... | запуск samp.exe... | membuka samp.exe... | samp.exe açılıyor...
Abrir a pasta da data no Explorer = Open this install's folder in Explorer | Abrir la carpeta de la instalación en el Explorador | Открыть папку установки в Проводнике | Buka folder instalasi di Explorer | Kurulum klasörünü Gezgin'de aç
Abrir a pasta das screenshots = Open the screenshots folder | Abrir la carpeta de capturas | Открыть папку скриншотов | Buka folder tangkapan layar | Ekran görüntüsü klasörünü aç
Abrir no navegador = Open in the browser | Abrir en el navegador | Открыть в браузере | Buka di browser | Tarayıcıda aç
Abrir o blog TrokMods = Open the TrokMods blog | Abrir el blog TrokMods | Открыть блог TrokMods | Buka blog TrokMods | TrokMods blogunu aç
ABRIR O POST = OPEN POST | ABRIR EL POST | ОТКРЫТЬ ПОСТ | BUKA POSTINGAN | GÖNDERİYİ AÇ
Abrir o Trok Launcher = Open Trok Launcher | Abrir Trok Launcher | Открыть Trok Launcher | Buka Trok Launcher | Trok Launcher'ı aç
Abrir User Files = Open User Files | Abrir User Files | Открыть User Files | Buka User Files | User Files'ı aç
Adicionar = Add | Añadir | Добавить | Tambah | Ekle
Adicionar aos favoritos = Add to favorites | Añadir a favoritos | Добавить в избранное | Tambah ke favorit | Favorilere ekle
Adicionar data = Add install | Añadir instalación | Добавить установку | Tambah instalasi | Kurulum ekle
ADICIONAR PELO IP = ADD BY IP | AÑADIR POR IP | ДОБАВИТЬ ПО IP | TAMBAH VIA IP | IP İLE EKLE
Adicionar servidor pelo IP = Add server by IP | Añadir servidor por IP | Добавить сервер по IP | Tambah server via IP | IP ile sunucu ekle
Adicione servidores na aba Internet = Add servers from the Internet tab | Añade servidores en la pestaña Internet | Добавьте серверы во вкладке Интернет | Tambahkan server di tab Internet | İnternet sekmesinden sunucu ekleyin
Adicione servidores no .ini = Add servers in the .ini | Añade servidores en el .ini | Добавьте серверы в .ini | Tambahkan server di .ini | .ini dosyasına sunucu ekleyin
Ao abrir, a Home já vem no servidor em que você parou = On startup, Home opens on the server you left off | Al abrir, el Inicio muestra el servidor donde te quedaste | При запуске на главной сразу тот сервер, где вы остановились | Saat dibuka, Beranda langsung ke server terakhir kamu | Açılışta Ana sayfa kaldığınız sunucuda başlar
Ao clicar em Jogar, o launcher fecha (ou vai pra bandeja, se a opção abaixo estiver ligada) = When you click Play, the launcher closes (or goes to the tray, if the option below is on) | Al pulsar Jugar, el launcher se cierra (o va a la bandeja si la opción de abajo está activa) | При нажатии «Играть» лаунчер закрывается (или сворачивается в трей, если включена опция ниже) | Saat klik Main, launcher menutup (atau ke tray jika opsi di bawah aktif) | Oyna'ya basınca launcher kapanır (alttaki seçenek açıksa tepsiye iner)
Ao entrar num servidor, o card dele vai pra frente da fila dos favoritos = When you join a server, its card moves to the front of the favorites | Al entrar a un servidor, su tarjeta pasa al frente de favoritos | При входе на сервер его карточка встаёт первой в избранном | Saat masuk server, kartunya pindah ke depan favorit | Bir sunucuya girince kartı favorilerin başına geçer
Arquivo de backup inválido. = Invalid backup file. | Archivo de copia inválido. | Недопустимый файл резервной копии. | File cadangan tidak valid. | Geçersiz yedek dosyası.
Atualizar a galeria (F5) = Refresh the gallery (F5) | Actualizar la galería (F5) | Обновить галерею (F5) | Segarkan galeri (F5) | Galeriyi yenile (F5)
Atualizar agora = Update now | Actualizar ahora | Обновить сейчас | Perbarui sekarang | Şimdi güncelle
Atualizar os posts do blog = Refresh the blog posts | Actualizar los posts del blog | Обновить посты блога | Segarkan postingan blog | Blog gönderilerini yenile
Atualização = Update | Actualización | Обновление | Pembaruan | Güncelleme
Atualização %s = Update %s | Actualización %s | Обновление %s | Pembaruan %s | Güncelleme %s
